date_id,datetime_id,market,rpt_key,last,diff_24h,diff_per_24h,bid,ask,low,high,volume,created_at,updated_at
2017-06-01,2017-06-01 10:35:00,okcoin,btc_usd,2437.77,2208.53,10.3797548596,2437.99,2438,2129.78,2465.37,4927.413,2017-06-01 01:34:37,2017-06-01 01:34:37
2017-06-01,2017-06-01 10:35:00,korbit,etc_krw,21780,24330,-10.4808877928,21760,21780,21000,24340,639972.3841280639,2017-06-01 01:34:37,2017-06-01 01:34:37
2017-06-01,2017-06-01 10:35:00,bitflyer,eth_btc,0.0965,0.10599,-8.953674875,0.0965,0.09705,0.0965,0.09705,15400.5227676,2017-06-01 01:34:37,2017-06-01 01:34:37
2017-06-01,2017-06-01 10:35:00,korbit,eth_krw,292900,327050,-10.4418284666,292050,292900,274000,329450,245454.5245087822,2017-06-01 01:34:37,2017-06-01 01:34:37
2017-06-01,2017-06-01 10:35:00,bitflyer,fx_btc_jpy,273859,263978,3.7431149565,273859,273962,273859,273962,65736.6335682,2017-06-01 01:34:37,2017-06-01 01:34:37
2017-06-01,2017-06-01 10:35:00,okcoin,ltc_usd,27.191,24.663,10.2501723229,27.18,27.19,23.2,27.35,225040.241,2017-06-01 01:34:37,2017-06-01 01:34:37
2017-06-01,2017-06-01 10:36:00,bitstamp,btc_eur,2070.94,1990.52,4.0401503125,2069.19,2080.87,1955.9,2083.99,2140.47944247,2017-06-01 01:35:38,2017-06-01 01:35:38
2017-06-01,2017-06-01 10:36:00,bitflyer,btc_jpy,268103,263200,1.8628419453,268103,268140,268103,268140,65704.5265134,2017-06-01 01:35:38,2017-06-01 01:35:38
2017-06-01,2017-06-01 10:36:00,korbit,btc_krw,3068500,3138500,-2.230364824,3063500,3064000,3002000,3150000,6475.28244887,2017-06-01 01:35:38,2017-06-01 01:35:38
2017-06-01,2017-06-01 10:36:00,bitstamp,btc_usd,2330.31,2210.97,5.3976309041,2330.26,2330.31,2154.28,2334,16734.99829141,2017-06-01 01:35:38,2017-06-01 01:35:38
2017-06-01,2017-06-01 10:36:00,okcoin,btc_usd,2438,2203.87,10.6235848757,2435.94,2438.72,2129.78,2465.37,4922.677,2017-06-01 01:35:38,2017-06-01 01:35:38
2017-06-01,2017-06-01 10:36:00,korbit,etc_krw,21800,24340,-10.4354971241,21760,21800,21000,24340,639933.9375606066,2017-06-01 01:35:38,2017-06-01 01:35:38
2017-06-01,2017-06-01 10:36:00,bitflyer,eth_btc,0.09603,0.10598,-9.38856388,0.09603,0.09637,0.09603,0.09637,15403.5055916,2017-06-01 01:35:38,2017-06-01 01:35:38
2017-06-01,2017-06-01 10:36:00,korbit,eth_krw,292050,326700,-10.6060606061,292050,292600,274000,329450,245375.3389279797,2017-06-01 01:35:38,2017-06-01 01:35:38
2017-06-01,2017-06-01 10:36:00,bitflyer,fx_btc_jpy,273781,264178,3.6350490957,273781,273895,273781,273895,65704.5275134,2017-06-01 01:35:38,2017-06-01 01:35:38
2017-06-01,2017-06-01 10:36:00,okcoin,ltc_usd,27.19,24.635,10.3714227725,27.18,27.187,23.2,27.35,225054.293,2017-06-01 01:35:38,2017-06-01 01:35:38
2017-06-01,2017-06-01 10:37:00,bitstamp,btc_eur,2080.79,1986.51,4.7460118499,2069.2,2080.73,1955.9,2083.99,2140.2232717,2017-06-01 01:36:38,2017-06-01 01:36:38
2017-06-01,2017-06-01 10:37:00,bitflyer,btc_jpy,268103,263192,1.8659381744,268103,268140,268103,268140,65704.5265134,2017-06-01 01:35:38,2017-06-01 01:35:38
2017-06-01,2017-06-01 10:37:00,korbit,btc_krw,3070000,3138500,-2.182571292,3070000,3070500,3002000,3150000,6488.64695968,2017-06-01 01:36:38,2017-06-01 01:36:38
2017-06-01,2017-06-01 10:37:00,bitstamp,btc_usd,2330.22,2208.27,5.5224225299,2326.9,2330.22,2154.28,2334,16734.67979307,2017-06-01 01:36:38,2017-06-01 01:36:38
2017-06-01,2017-06-01 10:37:00,okcoin,btc_usd,2438,2209.15,10.359187923,2436.14,2438.21,2129.78,2465.37,4920.608,2017-06-01 01:36:38,2017-06-01 01:36:38
2017-06-01,2017-06-01 10:37:00,korbit,etc_krw,21800,24330,-10.3986847513,21800,21800,21000,24320,641912.6320426041,2017-06-01 01:36:38,2017-06-01 01:36:38
2017-06-01,2017-06-01 10:37:00,bitflyer,eth_btc,0.09603,0.10598,-9.38856388,0.09603,0.09637,0.09603,0.09637,15403.5055916,2017-06-01 01:35:38,2017-06-01 01:35:38
2017-06-01,2017-06-01 10:37:00,korbit,eth_krw,292000,326700,-10.6213651668,291300,291300,274000,329450,245217.2447052071,2017-06-01 01:36:38,2017-06-01 01:36:38
2017-06-01,2017-06-01 10:37:00,bitflyer,fx_btc_jpy,273781,263510,3.8977647907,273781,273895,273781,273895,65704.5275134,2017-06-01 01:35:38,2017-06-01 01:35:38
2017-06-01,2017-06-01 10:37:00,okcoin,ltc_usd,27.19,24.666,10.2327089921,27.18,27.188,23.2,27.35,224968.851,2017-06-01 01:36:38,2017-06-01 01:36:38
2017-06-01,2017-06-01 10:38:00,bitstamp,btc_eur,2080.79,1990.38,4.5423486972,2069.2,2080.78,1955.9,2083.99,2140.2232717,2017-06-01 01:37:37,2017-06-01 01:37:37
2017-06-01,2017-06-01 10:38:00,bitflyer,btc_jpy,268106,263110,1.8988255863,268106,268148,268106,268148,65663.1810427,2017-06-01 01:37:37,2017-06-01 01:37:37
